,Word,Likelihood
1,SORES,0.00010722330700083354
2,SALES,8.941119209239303e-05
3,SOLES,8.758451182383876e-05
4,SIRES,7.921107092377713e-05
5,SINES,6.837166121841815e-05
6,CARES,6.652239543810924e-05
7,BARES,6.531289733923452e-05
8,CORES,6.516333574636292e-05
9,SATES,6.452354068523208e-05
10,BORES,6.397854782370178e-05
11,PARES,5.835828327070493e-05
12,CANES,5.741933079921008e-05
13,PORES,5.71660172684002e-05
14,TARES,5.6846410647111534e-05
15,BANES,5.637534296649717e-05
16,CONES,5.6246247696860625e-05
17,BONES,5.5223588647826795e-05
18,BALES,5.3350324563416835e-05
19,PANES,5.0372412928397935e-05
20,PONES,4.9343299115882276e-05
21,FARES,4.807754943026986e-05
22,TONES,4.806497530458999e-05
23,PALES,4.766950296638634e-05
24,FORES,4.709531992578048e-05
25,DARES,4.7019238593754486e-05
26,POLES,4.669560989503006e-05
27,SITES,4.669284180770021e-05
28,TALES,4.643454174964058e-05
29,MARES,4.505380418308308e-05
30,MORES,4.413335011912762e-05
31,SLOES,4.3174276993067735e-05
32,GORES,4.13194788028074e-05
33,TIRES,4.1137241253232326e-05
34,BRAES,4.078895782218001e-05
35,LORES,4.013469088014626e-05
36,SOOTS,3.976949772504086e-05
37,SORTS,3.902998227147605e-05
38,MANES,3.888854676855592e-05
39,BILES,3.860727788298874e-05
40,BATES,3.850023422102246e-05
41,COTES,3.841207159785604e-05
42,DALES,3.8407293840793135e-05
43,CURES,3.819673028381756e-05
44,DOLES,3.762262869780919e-05
45,MALES,3.680184425902365e-05
46,PINES,3.645229451700195e-05
47,HARES,3.613375570388206e-05
48,MOLES,3.604997862362424e-05
49,SEATS,3.601518729216104e-05
50,PENES,3.574816401370176e-05
51,TINES,3.5507934555421586e-05
52,CRIES,3.5432832047550314e-05
53,LANES,3.536508783314984e-05
54,SAILS,3.534307716570676e-05
55,FIRES,3.479160297480819e-05
56,BRIES,3.4788598737594856e-05
57,CASES,3.473169277610756e-05
58,SHIES,3.464943869147509e-05
59,SOILS,3.4621014298880486e-05
60,PILES,3.4496317738040864e-05
61,SOARS,3.4475795007725577e-05
62,WARES,3.447069581792933e-05
63,GALES,3.4455417947206704e-05
64,PATES,3.440067224378396e-05
65,BASES,3.4100207452905605e-05
66,TILES,3.360263075000872e-05
67,TOTES,3.282486118362243e-05
68,MIRES,3.260345184431711e-05
69,SALTS,3.254625640496717e-05
70,SHOES,3.2500636292003763e-05
71,ROLES,3.2420786144735896e-05
72,SAGES,3.203132912588307e-05
73,PRIES,3.108425720535096e-05
74,HONES,3.055193908988566e-05
75,TRIES,3.0278965567906633e-05
76,COATS,3.0211635012116677e-05
77,FINES,3.003064677825549e-05
78,POSES,2.9846678489606843e-05
79,WANES,2.975365323231795e-05
80,SIDES,2.9683306577752273e-05
81,BOATS,2.9662332557350918e-05
82,HALES,2.9515573080223665e-05
83,SEALS,2.9408374410825013e-05
84,DINES,2.9369594805149236e-05
85,HOLES,2.891256674847716e-05
86,COMES,2.8671867728399687e-05
87,FILES,2.841924621942227e-05
88,CITES,2.8376865187000125e-05
89,FATES,2.8340450190474864e-05
90,TUNES,2.81742006725039e-05
91,WALES,2.815711574180333e-05
92,MINES,2.8141926855094766e-05
93,SLUES,2.7920555162872315e-05
94,SAVES,2.788338722468958e-05
95,BITES,2.7860922183600124e-05
96,DATES,2.7716603802634224e-05
97,DOTES,2.7150350606666427e-05
98,SOAKS,2.7024574796378437e-05
99,SIREE,2.6718019954448637e-05
100,MILES,2.6631872243357975e-05
101,MATES,2.6558031939501603e-05
102,HIRES,2.614840600936842e-05
103,MOTES,2.6015448491275226e-05
104,GENES,2.5838698859644538e-05
105,BAITS,2.582641933325754e-05
106,HERES,2.5643310499529207e-05
107,FRIES,2.5608274070729547e-05
108,LINES,2.559215495882779e-05
109,SARIS,2.5314755812115543e-05
110,DRIES,2.5044569924518518e-05
111,TAMES,2.5012420684729074e-05
112,SEARS,2.4976975527002066e-05
113,WIRES,2.4944922887598323e-05
114,GATES,2.4864734601077004e-05
115,SUITS,2.4852914518485407e-05
116,COALS,2.466945588237715e-05
117,PLIES,2.454020305685602e-05
118,TOMES,2.450141424063246e-05
119,CODES,2.441910265863705e-05
120,SORER,2.437445924452055e-05
121,CARTS,2.4214585310126083e-05
122,COOTS,2.416930800969334e-05
123,DOSES,2.4047453394475977e-05
124,BODES,2.3975118973934562e-05
125,RILES,2.3950811279261533e-05
126,RATES,2.388440456304171e-05
127,BOOTS,2.3729866045880734e-05
128,CAPES,2.3667968061137815e-05
129,SILTS,2.355229092531495e-05
130,LURES,2.3525713424805817e-05
131,DUNES,2.3303660662629557e-05
132,TREES,2.329602583422274e-05
133,COPES,2.3184428928705966e-05
134,PACES,2.260615604591517e-05
135,SUPES,2.2361718328262115e-05
136,COINS,2.2250938728986083e-05
137,GASES,2.2023050646668204e-05
138,POOEY,2.1959009807861664e-05
139,SOAPS,2.17975994242394e-05
140,WINES,2.1531407124032238e-05
141,BEATS,2.148972501410714e-05
142,SANER,2.1477800704687007e-05
143,SOLED,2.139961711795607e-05
144,LASES,2.1391565323466248e-05
145,HATES,2.129989809913048e-05
146,PARTS,2.124279529479243e-05
147,CONEY,2.1203942584133968e-05
148,FAMES,2.1154121749318737e-05
149,MULES,2.1131381542278096e-05
150,BAILS,2.108868692760403e-05
151,COILS,2.1040395430258858e-05
152,SOULS,2.1000731541762776e-05
153,LOSES,2.0954533343739517e-05
154,CANTS,2.0901010478214093e-05
155,COONS,2.08710355519947e-05
156,PORTS,2.0808802702748283e-05
157,SAKES,2.0739709505967456e-05
158,ROSES,2.0722564339934283e-05
159,TARTS,2.069246381047138e-05
160,DAMES,2.0688464981251974e-05
161,BOILS,2.0657842786072334e-05
162,TOOTS,2.065377229919249e-05
163,BOARS,2.057119260129482e-05
164,BARNS,2.0529949815101406e-05
165,BOONS,2.0491562178322067e-05
166,CORNS,2.048293778346587e-05
167,MOATS,2.0461516440024476e-05
168,WILES,2.0376063327132945e-05
169,POPES,2.03390671965466e-05
170,LUNES,2.0306405271937654e-05
171,TORTS,2.0269714549827343e-05
172,DOMES,2.0265797417118868e-05
173,TAPES,2.0225354524972313e-05
174,FLIES,2.021705847689175e-05
175,FETES,2.0112577554530548e-05
176,RUNES,2.008161111763576e-05
177,SAFES,2.004838585576854e-05
178,PAINS,1.992725772111422e-05
179,TOPES,1.9812148357257827e-05
180,GULES,1.9784078692267077e-05
181,COOLS,1.973556470590172e-05
182,FREES,1.970248993426285e-05
183,SLATS,1.9644647613906024e-05
184,BUSES,1.9580119118119992e-05
